"last_name, first_name","player_id","year","ab","pa","r_total_stolen_base","sprint_speed"
"Bohm, Alec","664761","2023","558","611","4","26.6"
"France, Ty","664034","2023","587","665","1","25.0"
"Lindor, Francisco","596019","2023","602","687","31","28.2"
"Riley, Austin","663586","2023","636","715","3","28.1"
"Benintendi, Andrew","643217","2023","562","621","13","27.2"
"Rodriguez, Julio","677594","2023","654","714","37","29.6"
"Betts, Mookie","605141","2023","584","693","14","27.2"
"Meneses, Joey","608841","2023","611","657","0","25.6"
"Turner, Trea","607208","2023","639","691","30","30.3"
"Springer III, George","543807","2023","613","683","20","27.8"
"Bogaerts, Xander","593428","2023","596","665","19","27.7"
"Rutschman, Adley","668939","2023","588","687","1","27.0"
"Tucker, Kyle","663656","2023","574","674","30","26.6"
"Stott, Bryson","681082","2023","585","640","31","28.8"
"Albies, Ozzie","645277","2023","596","660","13","27.6"
"Torres, Gleyber","650402","2023","596","672","13","26.4"
"Guerrero Jr., Vladimir","665489","2023","602","682","5","26.4"
